bzip2_source_001= 0.060
bzip2_source_002= 0.060
bzip2_source_003= 0.060
bzip2_source_004= 0.060
bzip2_source_005= 0.060
bzip2_source_006= 0.060
bzip2_source_007= 0.084
bzip2_source_008= 0.084
bzip2_source_009= 0.084
bzip2_source_010= 0.084
bzip2_source_011= 0.084
bzip2_source_012= 0.084
bzip2_source_013= 0.084
bzip2_source_014= 0.084
bzip2_source_015= 0.084
bzip2_source_016= 0.084
bzip2_source_017= 0.084
bzip2_source_018= 0.084
bzip2_source_019= 0.060
bzip2_source_020= 0.060
bzip2_source_021= 0.060
bzip2_source_022= 0.060
bzip2_source_023= 0.060
bzip2_source_024= 0.060
bzip2_source_025= 0.084
bzip2_source_026= 0.087
bzip2_source_027= 0.087
bzip2_source_028= 0.084
bzip2_source_029= 0.087
bzip2_source_030= 0.087
bzip2_source_031= 0.084
bzip2_source_032= 0.103
bzip2_source_033= 0.103
bzip2_source_034= 0.084
bzip2_source_035= 0.103
bzip2_source_036= 0.103
bzip2_source_037= 0.060
bzip2_source_038= 0.060
bzip2_source_039= 0.060
bzip2_source_040= 0.060
bzip2_source_041= 0.060
bzip2_source_042= 0.060
bzip2_source_043= 0.084
bzip2_source_044= 0.087
bzip2_source_045= 0.087
bzip2_source_046= 0.084
bzip2_source_047= 0.087
bzip2_source_048= 0.087
bzip2_source_049= 0.084
bzip2_source_050= 0.103
bzip2_source_051= 0.103
bzip2_source_052= 0.084
bzip2_source_053= 0.103
bzip2_source_054= 0.103
bzip2_source_055= 0.061
bzip2_source_056= 0.061
bzip2_source_057= 0.061
bzip2_source_058= 0.061
bzip2_source_059= 0.061
bzip2_source_060= 0.061
bzip2_source_061= 0.088
bzip2_source_062= 0.088
bzip2_source_063= 0.088
bzip2_source_064= 0.088
bzip2_source_065= 0.088
bzip2_source_066= 0.088
bzip2_source_067= 0.088
bzip2_source_068= 0.088
bzip2_source_069= 0.088
bzip2_source_070= 0.088
bzip2_source_071= 0.088
bzip2_source_072= 0.088
bzip2_source_073= 0.061
bzip2_source_074= 0.061
bzip2_source_075= 0.061
bzip2_source_076= 0.061
bzip2_source_077= 0.061
bzip2_source_078= 0.061
bzip2_source_079= 0.088
bzip2_source_080= 0.090
bzip2_source_081= 0.090
bzip2_source_082= 0.088
bzip2_source_083= 0.090
bzip2_source_084= 0.090
bzip2_source_085= 0.088
bzip2_source_086= 0.107
bzip2_source_087= 0.107
bzip2_source_088= 0.088
bzip2_source_089= 0.107
bzip2_source_090= 0.107
bzip2_source_091= 0.061
bzip2_source_092= 0.061
bzip2_source_093= 0.061
bzip2_source_094= 0.061
bzip2_source_095= 0.061
bzip2_source_096= 0.061
bzip2_source_097= 0.088
bzip2_source_098= 0.090
bzip2_source_099= 0.090
bzip2_source_100= 0.088
bzip2_source_101= 0.090
bzip2_source_102= 0.090
bzip2_source_103= 0.088
bzip2_source_104= 0.107
bzip2_source_105= 0.107
bzip2_source_106= 0.088
bzip2_source_107= 0.107
bzip2_source_108= 0.107
bzip2_source_109= 0.061
bzip2_source_110= 0.061
bzip2_source_111= 0.061
bzip2_source_112= 0.061
bzip2_source_113= 0.061
bzip2_source_114= 0.061
bzip2_source_115= 0.089
bzip2_source_116= 0.089
bzip2_source_117= 0.089
bzip2_source_118= 0.089
bzip2_source_119= 0.089
bzip2_source_120= 0.089
bzip2_source_121= 0.089
bzip2_source_122= 0.089
bzip2_source_123= 0.089
bzip2_source_124= 0.089
bzip2_source_125= 0.089
bzip2_source_126= 0.089
bzip2_source_127= 0.061
bzip2_source_128= 0.061
bzip2_source_129= 0.061
bzip2_source_130= 0.061
bzip2_source_131= 0.061
bzip2_source_132= 0.061
bzip2_source_133= 0.089
bzip2_source_134= 0.091
bzip2_source_135= 0.091
bzip2_source_136= 0.089
bzip2_source_137= 0.091
bzip2_source_138= 0.091
bzip2_source_139= 0.089
bzip2_source_140= 0.108
bzip2_source_141= 0.108
bzip2_source_142= 0.089
bzip2_source_143= 0.108
bzip2_source_144= 0.108
bzip2_source_145= 0.061
bzip2_source_146= 0.061
bzip2_source_147= 0.061
bzip2_source_148= 0.061
bzip2_source_149= 0.061
bzip2_source_150= 0.061
bzip2_source_151= 0.089
bzip2_source_152= 0.091
bzip2_source_153= 0.091
bzip2_source_154= 0.089
bzip2_source_155= 0.091
bzip2_source_156= 0.091
bzip2_source_157= 0.089
bzip2_source_158= 0.108
bzip2_source_159= 0.108
bzip2_source_160= 0.089
bzip2_source_161= 0.108
bzip2_source_162= 0.108
crafty_001= 0.278
crafty_002= 0.278
crafty_003= 0.278
crafty_004= 0.278
crafty_005= 0.278
crafty_006= 0.278
crafty_007= 0.279
crafty_008= 0.279
crafty_009= 0.279
crafty_010= 0.279
crafty_011= 0.279
crafty_012= 0.279
crafty_013= 0.279
crafty_014= 0.279
crafty_015= 0.279
crafty_016= 0.279
crafty_017= 0.279
crafty_018= 0.279
crafty_019= 0.278
crafty_020= 0.278
crafty_021= 0.278
crafty_022= 0.278
crafty_023= 0.278
crafty_024= 0.278
crafty_025= 0.281
crafty_026= 0.282
crafty_027= 0.282
crafty_028= 0.281
crafty_029= 0.282
crafty_030= 0.282
crafty_031= 0.282
crafty_032= 0.284
crafty_033= 0.284
crafty_034= 0.282
crafty_035= 0.284
crafty_036= 0.284
crafty_037= 0.278
crafty_038= 0.278
crafty_039= 0.278
crafty_040= 0.278
crafty_041= 0.278
crafty_042= 0.278
crafty_043= 0.281
crafty_044= 0.282
crafty_045= 0.282
crafty_046= 0.281
crafty_047= 0.282
crafty_048= 0.282
crafty_049= 0.282
crafty_050= 0.286
crafty_051= 0.286
crafty_052= 0.282
crafty_053= 0.286
crafty_054= 0.286
crafty_055= 0.448
crafty_056= 0.448
crafty_057= 0.448
crafty_058= 0.448
crafty_059= 0.448
crafty_060= 0.448
crafty_061= 0.449
crafty_062= 0.449
crafty_063= 0.449
crafty_064= 0.449
crafty_065= 0.449
crafty_066= 0.449
crafty_067= 0.449
crafty_068= 0.449
crafty_069= 0.449
crafty_070= 0.449
crafty_071= 0.449
crafty_072= 0.449
crafty_073= 0.448
crafty_074= 0.448
crafty_075= 0.448
crafty_076= 0.448
crafty_077= 0.448
crafty_078= 0.448
crafty_079= 0.454
crafty_080= 0.454
crafty_081= 0.454
crafty_082= 0.454
crafty_083= 0.454
crafty_084= 0.454
crafty_085= 0.454
crafty_086= 0.457
crafty_087= 0.457
crafty_088= 0.454
crafty_089= 0.457
crafty_090= 0.457
crafty_091= 0.448
crafty_092= 0.448
crafty_093= 0.448
crafty_094= 0.448
crafty_095= 0.448
crafty_096= 0.448
crafty_097= 0.454
crafty_098= 0.454
crafty_099= 0.454
crafty_100= 0.454
crafty_101= 0.454
crafty_102= 0.454
crafty_103= 0.454
crafty_104= 0.460
crafty_105= 0.460
crafty_106= 0.454
crafty_107= 0.460
crafty_108= 0.460
crafty_109= 0.669
crafty_110= 0.669
crafty_111= 0.669
crafty_112= 0.669
crafty_113= 0.669
crafty_114= 0.669
crafty_115= 0.671
crafty_116= 0.671
crafty_117= 0.671
crafty_118= 0.671
crafty_119= 0.671
crafty_120= 0.671
crafty_121= 0.671
crafty_122= 0.671
crafty_123= 0.671
crafty_124= 0.671
crafty_125= 0.671
crafty_126= 0.671
crafty_127= 0.669
crafty_128= 0.669
crafty_129= 0.669
crafty_130= 0.669
crafty_131= 0.669
crafty_132= 0.669
crafty_133= 0.677
crafty_134= 0.677
crafty_135= 0.677
crafty_136= 0.677
crafty_137= 0.677
crafty_138= 0.677
crafty_139= 0.677
crafty_140= 0.681
crafty_141= 0.681
crafty_142= 0.677
crafty_143= 0.681
crafty_144= 0.681
crafty_145= 0.669
crafty_146= 0.669
crafty_147= 0.669
crafty_148= 0.669
crafty_149= 0.669
crafty_150= 0.669
crafty_151= 0.677
crafty_152= 0.677
crafty_153= 0.677
crafty_154= 0.677
crafty_155= 0.677
crafty_156= 0.677
crafty_157= 0.677
crafty_158= 0.686
crafty_159= 0.686
crafty_160= 0.677
crafty_161= 0.686
crafty_162= 0.686
